Domain Code,Domain_x,Area Code,Area,Element Code,Element_x,Item Code,Item_x,Year,Unit_x,yield,average_rain_fall_mm_per_year,Domain_y,Element_y,Item_y,Unit_y,pesticides_tonnes,avg_temp
QC,Crops,3,0,5419,Yield,56,1,1990,hg/ha,36613,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,116,3,1990,hg/ha,66667,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,27,4,1990,hg/ha,23333,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,83,5,1990,hg/ha,12500,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,236,6,1990,hg/ha,7000,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,15,8,1990,hg/ha,30197,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.37
QC,Crops,3,0,5419,Yield,56,1,1991,hg/ha,29068,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,116,3,1991,hg/ha,77818,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,27,4,1991,hg/ha,28538,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,83,5,1991,hg/ha,6667,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,236,6,1991,hg/ha,6066,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,15,8,1991,hg/ha,20698,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,15.36
QC,Crops,3,0,5419,Yield,56,1,1992,hg/ha,24876,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.06
QC,Crops,3,0,5419,Yield,116,3,1992,hg/ha,82920,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.06
QC,Crops,3,0,5419,Yield,27,4,1992,hg/ha,40000,1485.0,Pesticides Use,Use,Pesticides (total),tonnes of active ingredients,121.0,16.06
